genre,rate,metascore,votes,user_reviews,critic_reviews,popularity,awards_nominations,Oscar_nominated,Golden_Globes_nominated,BAFTA_nominated,Screen_Actors_Guild_nominated,Critics_Choice_nominated,Directors_Guild_nominated,Producers_Guild_nominated,Art_Directors_Guild_nominated,Writers_Guild_nominated,Costume_Designers_Guild_nominated,Online_Film_Television_Association_nominated,Online_Film_Critics_Society_nominated,People_Choice_nominated,London_Critics_Circle_Film_nominated
Comedy|Sport,6.5,30,49276,260,119,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biography|Drama,7.30000019,73,139323,500,166,1230,38,5,4,6,2,3,1,1,0,1,1,6,3,0,3
Horror|Thriller,6.69999981,36,186452,675,211,1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy,6.5999999,61,207208,526,135,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Drama|Romance,6.80000019,30,27563,240,78,2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animation|Adventure|Comedy,8.10000038,78,614220,596,249,1023,8,4,0,1,0,1,0,0,0,0,0,2,1,0,0
Drama|Romance|Sport,7.19999981,70,14809,116,67,1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Drama|Music,5.5999999,27,92599,378,154,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|Musical|Romance,7.5999999,66,229031,2323,209,947,62,8,6,12,1,3,1,1,1,1,0,22,5,0,3
Biography|Drama,7.19999981,56,91691,233,97,2837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crime|Thriller,7.30000019,79,44469,349,148,2800,9,1,1,0,1,1,0,0,0,0,0,1,1,0,0
Drama,7.69999981,85,23102,232,124,1922,16,2,2,0,1,2,0,0,0,1,0,3,2,0,0
Crime|Horror|Mystery,5.30000019,22,22568,182,103,2819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Romance|Sport,5.9000001,52,71924,384,138,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|Sci-Fi|Thriller,7.9000001,84,374207,1223,375,581,31,3,0,3,0,0,0,0,1,0,0,11,5,0,3
Comedy|Fantasy|Romance,6.4000001,47,163233,396,151,2292,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Crime,8.30000019,55,623296,735,151,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|Thriller,7,59,20825,370,139,1556,6,2,2,0,3,0,0,0,0,0,0,0,1,0,0
Comedy|Drama|Music,7,60,2837,38,35,234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama,5.9000001,0,25403,158,87,2211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mystery|Thriller,8.5,80,879688,2078,274,441,26,2,1,0,0,2,1,0,0,0,0,7,6,0,3
Action|Adventure|Fantasy,6.30000019,48,253782,895,202,1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Romance,5.19999981,33,63095,229,107,2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horror|Sci-Fi|Thriller,6.30000019,40,81554,678,226,982,5,1,0,0,0,0,0,0,1,0,0,4,0,0,0
Biography|Drama|Sport,7.80000019,48,165555,403,156,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventure|Comedy|Family,4.80000019,35,27364,77,83,154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Horror|Sci-Fi,4.4000001,25,40185,678,204,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Romance,8.39999962,69,559498,1327,245,680,20,5,1,9,0,1,0,0,1,0,0,4,2,0,1
Comedy|Romance,7,73,267609,508,148,2322,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Action|Comedy|Crime,6.19999981,43,142566,371,140,1384,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Adventure|Drama|Sci-Fi,7.0999999,65,245306,2159,281,1157,22,2,3,1,0,2,0,0,2,0,0,10,4,0,0
Crime|Drama|Thriller,6.80000019,57,213634,1365,276,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Drama|History,6.0999999,44,262093,1998,191,314,7,4,2,0,0,1,0,0,0,0,0,4,0,0,0
Comedy|Drama|Romance,7.5,54,68675,223,86,1623,4,2,2,1,0,0,0,0,0,0,0,1,0,0,0
Adventure|Comedy,6.5,55,136119,303,103,1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|History|War,7.5999999,53,195763,664,186,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Drama|Romance,7.30000019,78,7932,48,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crime|Drama,7.5,72,324867,1184,232,267,51,10,5,12,1,3,1,1,1,1,0,9,8,0,0
Drama|Mystery|Sci-Fi,7.19999981,62,251457,1356,293,184,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Drama|Mystery|Romance,6,33,45973,181,91,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Drama|Fantasy,6.69999981,42,88458,324,124,2103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|Fantasy|Horror,6.69999981,62,53408,331,169,2608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biography|Crime|Drama,7.5999999,52,203294,426,145,941,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Animation|Action|Adventure,6.80000019,52,75722,290,146,1955,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0
Comedy|Fantasy,6,49,83644,256,124,2636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horror|Mystery|Thriller,7.5999999,74,277145,1114,243,1843,13,0,1,2,0,0,0,0,0,0,0,7,2,0,1
Action|Crime|Thriller,6.69999981,58,280110,994,187,701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Sci-Fi,7.19999981,62,432102,2793,272,1062,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
